learner_id,signup_date,age,city_tier,education,hours_per_week_pledged,weekly_logins_avg,assignments_submitted,forum_posts,video_watch_pct,has_mentor,device,referral_source,payment_plan,days_since_last_login,certificate_issued,final_score,notes,completed_course,days_since_last_login_invalid
L-00788,2026-02-12,18.0,1,Bachelors,7.1,2.03,1,2,38.5,1.0,Mobile,school_partner,free,12.0,N,34.6,follow up next intake,0.0,1
L-00406,2026-01-03,20.0,2,High School,8.4,3.65,4,1,68.5,1.0,Tablet,ngo_outreach,free,2.0,N,,,0.0,0
L-02243,2026-04-12,28.0,2,Diploma,4.4,2.87,6,7,23.8,1.0,Tablet,friend,scholarship,12.0,TRUE,73.0,,1.0,1
L-01812,2026-06-06,23.0,2,Bachelors,7.2,4.21,6,2,60.1,1.0,Mobile,friend,scholarship,12.0,TRUE,74.2,follow up next intake,1.0,1
L-02281,2026-03-13,20.0,2,Bachelors,12.4,3.63,3,8,18.9,0.0,Laptop,instagram,free,12.0,0,,called on phone,0.0,1
L-02675,2026-02-01,20.0,1,Diploma,3.4,0.74,0,1,0.0,0.0,Laptop,ngo_outreach,scholarship,12.0,no,,requested extension,0.0,1
L-01789,2026-02-01,19.0,1,Diploma,9.6,1.14,0,1,0.0,1.0,Laptop,school_partner,free,12.0,0,,asked about certificate,0.0,1
L-01470,2026-04-07,19.0,2,Diploma,9.0,5.5,5,1,56.6,0.0,Desktop,instagram,scholarship,8.0,0,,,0.0,0
L-02766,2026-05-12,23.0,2,Diploma,5.0,3.21,6,5,81.7,0.0,Mobile,youtube,free,12.0,N,,requested extension,0.0,1
L-01438,2026-03-05,16.0,1,Bachelors,2.3,2.48,6,4,24.4,0.0,Mobile,youtube,free,21.0,1,67.6,,1.0,0
L-00450,2026-06-02,18.0,2,Bachelors,7.6,2.82,3,2,55.6,1.0,Mobile,instagram,paid,20.0,N,,,0.0,0
L-00339,2026-04-06,20.0,2,Bachelors,10.7,3.8,5,6,31.5,-1.0,Mobile,friend,scholarship,17.0,no,,,0.0,0
L-01366,2026-04-06,19.0,2,Bachelors,3.5,0.11,2,7,21.3,1.0,Mobile,instagram,scholarship,11.0,no,,duplicate?  check,0.0,0
L-02493,2026-02-06,18.0,Unknown,Other,7.1,3.32,5,2,64.4,1.0,Mobile,friend,paid,9.0,Y,74.1,-,1.0,0
L-00122,2026-02-03,25.0,2,Other,8.7,2.57,1,2,20.7,-1.0,Desktop,friend,scholarship,12.0,no,,-,0.0,1
L-00401,2026-01-06,15.0,2,Bachelors,7.1,4.29,6,2,81.8,0.0,Laptop,instagram,scholarship,13.0,Yes,91.2,-,1.0,0
L-01345,2026-04-04,24.0,2,Bachelors,7.1,3.54,4,1,61.7,0.0,Laptop,instagram,free,12.0,no,,requested extension,0.0,1
L-01764,2026-04-07,21.0,3,High School,4.3,5.42,4,11,63.4,0.0,Desktop,friend,scholarship,12.0,FALSE,,-,0.0,1
L-00156,2026-05-10,32.0,3,High School,9.3,1.96,2,2,33.7,1.0,Mobile,friend,scholarship,6.0,No,,follow up next intake,0.0,0
L-01923,2026-04-25,18.0,2,Diploma,8.0,3.51,10,4,73.3,1.0,Mobile,other,scholarship,5.0,1,67.6,requested extension,1.0,0
L-00866,2026-06-25,23.0,2,Diploma,6.2,4.66,6,9,100.0,-1.0,Mobile,other,free,8.0,1,72.9,called on phone,1.0,0
L-01038,2026-03-09,18.0,1,Diploma,13.7,3.33,2,6,72.4,0.0,Desktop,school_partner,scholarship,12.0,no,62.0,follow up next intake,0.0,1
L-01483,2026-04-02,26.0,2,Diploma,5.1,4.03,6,6,44.8,0.0,Laptop,school_partner,paid,3.0,Y,83.4,,1.0,0
L-00086,2026-04-08,16.0,2,Diploma,11.7,3.13,7,3,47.9,0.0,Laptop,instagram,free,21.0,no,,,0.0,0
L-00273,2026-01-21,20.0,3,High School,6.9,3.93,5,8,44.1,1.0,Mobile,instagram,paid,4.0,Y,76.5,duplicate?  check,1.0,0
L-02084,2026-05-28,21.0,3,Masters,4.1,3.36,2,1,41.1,0.0,Mobile,school_partner,free,12.0,N,,-,0.0,1
L-02160,2026-06-04,20.0,2,High School,7.1,4.79,5,9,84.5,0.0,Desktop,school_partner,free,20.0,yes,56.3,,1.0,0
L-02781,2026-05-15,22.0,3,Diploma,11.0,2.63,6,4,37.0,1.0,Mobile,friend,free,10.0,0,,-,0.0,0
L-02588,2026-06-09,25.0,1,Other,2.0,0.41,1,1,4.4,0.0,Tablet,friend,free,21.0,N,,,0.0,0
L-01183,2026-03-17,15.0,2,Diploma,7.9,5.34,5,2,25.7,0.0,Laptop,ngo_outreach,free,12.0,no,,,0.0,1
L-01989,2026-06-11,25.0,1,Bachelors,11.1,4.13,5,4,65.1,1.0,Mobile,friend,paid,4.0,1,69.5,,1.0,0
L-00138,2026-05-27,21.0,3,High School,1.6,3.13,0,0,6.7,1.0,Laptop,youtube,free,12.0,0,,-,0.0,1
L-00781,2026-03-24,25.0,2,Bachelors,7.1,4.59,5,1,54.1,0.0,Laptop,youtube,scholarship,15.0,Y,75.3,,1.0,0
L-00315,2026-06-18,20.0,2,High School,3.4,2.06,6,1,71.6,0.0,Mobile,friend,free,12.0,0,,called on phone,0.0,1
L-00034,2026-01-25,17.0,1,Bachelors,8.2,4.04,3,10,89.8,0.0,Laptop,friend,free,3.0,N,,,0.0,0
L-01589,2026-01-17,28.0,2,Bachelors,2.9,3.87,7,2,59.7,0.0,Desktop,instagram,scholarship,0.0,1,73.6,asked about certificate,1.0,0
L-01629,2026-06-09,20.0,3,Bachelors,1.2,0.0,3,0,68.4,0.0,Desktop,friend,paid,12.0,N,,,0.0,1
L-01530,2026-05-05,15.0,2,High School,9.1,2.5,1,2,50.0,0.0,Mobile,school_partner,paid,14.0,No,,requested extension,0.0,0
L-00190,2026-01-03,21.0,2,Bachelors,7.1,0.2,2,2,0.0,1.0,Mobile,instagram,scholarship,11.0,0,,,0.0,0
L-00855,2026-05-19,24.0,1,Diploma,1.0,0.36,1,3,51.0,0.0,Mobile,ngo_outreach,scholarship,12.0,N,,requested extension,0.0,1
L-01389,2026-02-13,22.0,1,High School,3.0,0.18,4,3,17.0,0.0,Mobile,school_partner,free,12.0,no,,,0.0,1
L-01020,2026-04-08,15.0,3,Masters,10.5,4.01,2,5,64.4,0.0,Laptop,school_partner,paid,20.0,0,,duplicate?  check,0.0,0
L-02729,2026-04-11,22.0,3,Masters,10.0,5.96,7,5,57.4,1.0,Mobile,instagram,free,12.0,Yes,83.3,,1.0,1
L-01885,2026-01-05,21.0,2,Bachelors,5.1,3.13,4,5,45.5,1.0,Laptop,youtube,scholarship,12.0,1,76.6,asked about certificate,1.0,0
L-02794,2026-02-26,27.0,2,High School,10.9,3.61,5,0,1.4,0.0,Mobile,school_partner,paid,4.0,FALSE,,,0.0,0
L-01422,2026-03-03,20.0,2,Diploma,9.4,0.72,2,1,16.5,1.0,Desktop,school_partner,scholarship,15.0,yes,73.8,-,1.0,0
L-02312,2026-04-05,23.0,3,Diploma,1.0,1.53,2,1,14.7,1.0,Mobile,youtube,paid,13.0,no,,,0.0,0
L-02517,2026-05-22,19.0,3,Unknown,9.5,4.29,3,5,45.5,0.0,Mobile,other,free,12.0,N,,,0.0,1
L-02041,2026-05-24,27.0,1,Diploma,9.1,4.92,5,1,38.4,0.0,Mobile,friend,scholarship,12.0,yes,92.4,asked about certificate,1.0,1
L-01358,2026-05-07,20.0,2,High School,11.4,5.49,6,4,100.0,0.0,Laptop,instagram,free,6.0,no,80.3,,1.0,0
L-02601,2026-02-25,24.0,1,Other,3.3,0.25,0,1,23.8,0.0,Laptop,ngo_outreach,free,18.0,no,,duplicate?  check,0.0,0
L-01291,2026-04-04,22.0,2,High School,1.0,2.25,2,0,2.8,0.0,Mobile,friend,scholarship,12.0,No,45.8,,0.0,1
L-01484,2026-01-02,24.0,3,High School,10.5,7.0,6,4,53.1,1.0,Desktop,school_partner,paid,5.0,Y,76.4,duplicate?  check,1.0,0
L-01026,2026-05-19,21.0,2,Bachelors,7.1,4.41,2,12,73.2,1.0,Laptop,friend,paid,7.0,TRUE,91.5,,1.0,0
L-01730,2026-02-22,24.0,2,High School,3.4,2.98,6,2,0.0,0.0,Mobile,friend,free,5.0,no,,,0.0,0
L-02286,2026-05-06,21.0,3,Other,4.0,3.13,1,0,7.8,1.0,Laptop,ngo_outreach,free,12.0,FALSE,,follow up next intake,0.0,1
L-01543,2026-03-07,21.0,2,High School,8.1,3.13,4,4,43.0,0.0,Laptop,school_partner,scholarship,12.0,N,,-,0.0,1
L-00803,2026-03-16,21.0,3,Diploma,1.3,0.68,0,5,1.6,1.0,Mobile,instagram,free,12.0,FALSE,,requested extension,0.0,1
L-00993,2026-03-22,20.0,1,High School,7.0,4.64,6,2,45.5,0.0,Desktop,instagram,free,5.0,Yes,59.8,,1.0,0
L-02383,2026-05-01,24.0,2,Bachelors,4.4,1.99,4,1,45.3,0.0,Laptop,instagram,scholarship,9.0,N,,,0.0,0
L-02259,2026-03-21,21.0,1,High School,4.1,2.25,0,5,0.0,1.0,Mobile,school_partner,free,12.0,0,,,0.0,1
L-00532,2026-06-14,21.0,2,Bachelors,11.3,0.0,3,3,0.0,1.0,Mobile,school_partner,free,18.0,FALSE,,,0.0,0
L-02746,2026-06-23,19.0,3,High School,4.3,5.07,6,1,59.3,0.0,Mobile,school_partner,scholarship,12.0,Y,82.4,called on phone,1.0,1
L-02787,2026-04-03,25.0,1,Diploma,7.1,3.98,6,1,43.2,0.0,Laptop,instagram,free,6.0,1,84.4,called on phone,1.0,0
L-00028,2026-01-03,22.0,2,Bachelors,2.0,3.92,6,9,41.7,1.0,Desktop,other,scholarship,5.0,Y,95.5,follow up next intake,1.0,0
L-01029,2026-01-05,25.0,3,Bachelors,9.5,1.87,1,3,14.3,0.0,Laptop,school_partner,paid,12.0,FALSE,,requested extension,0.0,1
L-02498,2026-01-17,21.0,3,High School,7.1,2.64,0,6,29.5,0.0,Laptop,youtube,scholarship,20.0,no,,duplicate?  check,0.0,0
L-01135,2026-03-02,22.0,1,High School,7.8,2.5,5,3,45.5,1.0,Laptop,ngo_outreach,free,21.0,0,,,0.0,0
L-01560,2026-02-05,21.0,2,High School,13.4,5.11,6,7,91.4,0.0,Laptop,ngo_outreach,free,2.0,Y,92.8,duplicate?  check,1.0,0
L-00025,2026-04-15,15.0,3,Bachelors,8.3,2.94,0,2,100.0,0.0,Laptop,instagram,free,16.0,0,,,0.0,0
L-01570,2026-02-08,23.0,1,Diploma,8.2,1.53,0,4,9.2,1.0,Tablet,friend,free,12.0,no,34.4,asked about certificate,0.0,1
L-01585,2026-03-11,17.0,1,High School,3.4,0.72,4,1,64.2,1.0,Mobile,ngo_outreach,free,16.0,N,,,0.0,0
L-02127,2026-04-16,24.0,1,Bachelors,8.7,2.3,1,3,12.5,0.0,Mobile,instagram,free,7.0,FALSE,,called on phone,0.0,0
L-00157,2026-01-17,26.0,3,High School,7.3,1.98,4,1,66.8,1.0,Mobile,friend,free,18.0,Yes,86.1,,1.0,0
L-02530,2026-01-08,21.0,1,Masters,8.1,4.31,5,0,86.6,0.0,Laptop,school_partner,paid,13.0,TRUE,71.3,follow up next intake,1.0,0
L-01290,2026-04-08,20.0,3,Diploma,4.6,3.13,3,3,54.0,0.0,Desktop,school_partner,scholarship,12.0,FALSE,,duplicate?  check,0.0,1
L-00390,2026-01-18,21.0,3,Unknown,7.1,4.03,7,6,56.7,0.0,Laptop,other,paid,10.0,Yes,89.0,-,1.0,0
L-01800,2026-04-24,15.0,2,Bachelors,17.6,2.31,8,10,45.5,0.0,Laptop,instagram,scholarship,12.0,Yes,58.7,,1.0,0
L-00465,2026-04-15,21.0,3,Diploma,8.1,3.46,7,5,68.8,1.0,Mobile,youtube,scholarship,19.0,1,78.5,,1.0,0
L-00014,2026-06-20,27.0,2,High School,11.0,3.02,2,4,60.7,1.0,Mobile,other,scholarship,21.0,FALSE,,asked about certificate,0.0,0
L-02050,2026-01-23,24.0,2,Diploma,5.6,2.01,6,0,46.3,1.0,Mobile,instagram,free,12.0,Yes,68.0,follow up next intake,1.0,1
L-01707,2026-06-19,26.0,3,High School,11.2,2.61,0,1,48.5,0.0,Mobile,youtube,scholarship,12.0,FALSE,,follow up next intake,0.0,1
L-02037,2026-05-18,18.0,2,Bachelors,9.8,3.13,8,6,100.0,0.0,Laptop,instagram,paid,8.0,TRUE,76.3,,1.0,0
L-02748,2026-04-10,23.0,1,Other,8.5,3.37,6,3,58.3,0.0,Mobile,school_partner,scholarship,16.0,TRUE,86.8,requested extension,1.0,0
L-02098,2026-04-05,32.0,2,Diploma,5.1,0.0,2,3,32.2,1.0,Desktop,ngo_outreach,scholarship,20.0,N,,,0.0,0
L-02216,2026-05-02,20.0,2,High School,10.1,2.34,7,7,66.1,1.0,Mobile,friend,free,12.0,yes,68.3,-,1.0,1
L-00681,2026-06-18,23.0,2,Bachelors,8.4,3.23,1,2,63.3,1.0,Mobile,youtube,scholarship,12.0,FALSE,,,0.0,1
L-00698,2026-05-03,22.0,1,Masters,11.7,4.05,8,1,64.0,0.0,Mobile,friend,paid,6.0,TRUE,84.0,duplicate?  check,1.0,0
L-00939,2026-06-21,15.0,3,High School,13.8,1.26,4,2,37.1,1.0,Mobile,instagram,free,12.0,N,,,0.0,1
L-01207,2026-01-26,19.0,1,Bachelors,1.0,2.06,3,0,33.0,0.0,Mobile,other,paid,12.0,FALSE,,,0.0,1
L-01850,2026-03-21,17.0,1,High School,11.1,3.49,5,3,31.9,1.0,Laptop,school_partner,free,12.0,FALSE,,,0.0,1
L-01357,2026-01-01,17.0,1,Masters,1.6,3.13,3,6,70.5,1.0,Mobile,ngo_outreach,free,12.0,0,,duplicate?  check,0.0,1
L-00382,2026-04-11,24.0,1,High School,12.2,2.83,8,1,62.2,1.0,Mobile,ngo_outreach,free,11.0,1,73.5,,1.0,0
L-01717,2026-04-07,23.0,2,Diploma,3.3,3.13,5,2,56.4,0.0,Desktop,instagram,scholarship,14.0,N,,follow up next intake,0.0,0
L-00572,2026-04-28,19.0,Unknown,Bachelors,10.5,3.0,9,6,57.6,0.0,Mobile,instagram,free,12.0,No,,called on phone,0.0,1
L-01062,2026-02-09,22.0,2,High School,11.3,5.66,5,6,65.4,0.0,Mobile,instagram,free,5.0,N,,called on phone,0.0,0
L-01602,2026-06-10,20.0,3,High School,1.0,4.12,5,2,58.8,0.0,Mobile,youtube,free,20.0,0,,requested extension,0.0,0
L-00162,2026-01-20,20.0,1,Bachelors,15.4,3.37,3,1,100.0,1.0,Tablet,instagram,scholarship,12.0,0,,-,0.0,1
L-00141,2026-06-23,25.0,2,Bachelors,3.3,3.22,1,1,14.7,0.0,Mobile,instagram,paid,12.0,no,88.6,asked about certificate,1.0,1
L-00813,2026-03-09,22.0,1,High School,6.5,4.05,4,2,79.1,0.0,Mobile,other,paid,18.0,yes,63.0,duplicate?  check,1.0,0
L-01660,2026-06-19,19.0,1,High School,9.7,3.39,4,4,65.6,1.0,Mobile,youtube,paid,18.0,No,78.9,called on phone,1.0,0
L-01709,2026-02-07,24.0,1,Diploma,6.8,4.41,2,1,75.3,1.0,Mobile,school_partner,scholarship,14.0,No,,,0.0,0
L-01048,2026-02-20,20.0,2,High School,10.3,3.79,4,10,56.6,1.0,Laptop,school_partner,free,17.0,No,,follow up next intake,0.0,0
L-00350,2026-02-27,20.0,1,High School,8.2,3.68,3,1,45.5,1.0,Mobile,instagram,free,10.0,no,,duplicate?  check,0.0,0
L-01466,2026-02-18,22.0,3,Diploma,7.9,2.83,1,3,7.7,0.0,Desktop,school_partner,scholarship,12.0,0,,,0.0,1
L-01093,2026-06-15,26.0,3,Masters,7.2,5.75,3,3,37.9,0.0,Mobile,instagram,free,5.0,0,36.1,,0.0,0
L-00527,2026-03-21,23.0,1,Other,10.1,3.79,2,1,27.7,0.0,Mobile,ngo_outreach,scholarship,9.0,FALSE,,-,0.0,0
L-01903,2026-01-26,25.0,1,Bachelors,11.1,3.0,5,4,55.2,1.0,Mobile,friend,free,12.0,Yes,75.2,,1.0,1
L-01202,2026-03-05,23.0,3,High School,18.4,3.06,5,7,68.2,0.0,Laptop,friend,scholarship,10.0,Yes,98.0,,1.0,0
L-00229,2026-03-23,15.0,1,Unknown,9.9,5.29,7,3,37.6,0.0,Laptop,instagram,free,2.0,yes,67.3,follow up next intake,1.0,0
L-00101,2026-01-03,21.0,2,Other,10.4,4.18,7,4,58.5,0.0,Laptop,school_partner,free,12.0,Yes,64.5,,1.0,1
L-00283,2026-04-20,18.0,3,Bachelors,4.2,0.84,2,3,40.5,1.0,Mobile,school_partner,scholarship,12.0,1,70.8,called on phone,1.0,1
L-02200,2026-05-28,21.0,2,High School,1.0,0.0,0,1,9.5,1.0,Mobile,school_partner,free,12.0,No,,duplicate?  check,0.0,1
L-02666,2026-03-25,16.0,2,Bachelors,7.1,4.35,5,7,74.7,0.0,Laptop,friend,free,12.0,Y,64.9,-,1.0,0
L-01198,2026-02-16,25.0,3,Unknown,10.3,5.59,3,3,68.5,1.0,Mobile,school_partner,free,4.0,N,,,0.0,0
L-00581,2026-06-04,23.0,2,High School,15.2,0.78,3,3,18.7,0.0,Tablet,school_partner,free,12.0,FALSE,,,0.0,1
L-01928,2026-02-05,19.0,2,Bachelors,1.0,2.85,0,2,45.5,1.0,Desktop,instagram,paid,12.0,Yes,88.0,,1.0,1
L-01319,2026-06-06,23.0,1,High School,2.3,2.25,2,2,67.6,0.0,Mobile,youtube,free,3.0,No,,-,0.0,0
L-02185,2026-04-11,19.0,1,High School,7.3,1.3,5,2,30.0,0.0,Desktop,other,scholarship,12.0,no,,follow up next intake,0.0,1
L-02033,2026-02-28,20.0,3,Diploma,7.1,1.49,1,7,45.1,0.0,Laptop,instagram,scholarship,12.0,no,51.1,asked about certificate,0.0,1
L-00989,2026-02-07,18.0,1,Diploma,8.0,3.17,4,1,34.9,1.0,Laptop,friend,scholarship,19.0,yes,58.7,,1.0,0
L-01412,2026-02-01,22.0,2,Other,3.4,2.42,5,1,65.0,1.0,Mobile,school_partner,paid,1.0,1,80.0,requested extension,1.0,0
L-00821,2026-05-15,20.0,2,Diploma,7.0,4.92,2,2,73.0,1.0,Mobile,youtube,scholarship,2.0,Yes,97.6,,1.0,0
L-00904,2026-02-14,18.0,2,Bachelors,9.0,1.48,6,1,45.5,0.0,Mobile,friend,scholarship,1.0,Y,85.7,duplicate?  check,1.0,0
L-01489,2026-01-08,15.0,3,Bachelors,7.6,2.81,2,1,50.3,0.0,Laptop,school_partner,scholarship,12.0,N,49.2,,0.0,1
L-01834,2026-05-18,21.0,3,Bachelors,1.3,3.13,5,8,69.7,0.0,Laptop,friend,scholarship,19.0,yes,78.9,,1.0,0
L-00684,2026-02-08,21.0,2,Bachelors,1.0,2.61,3,1,46.5,0.0,Mobile,ngo_outreach,free,12.0,FALSE,,,0.0,1
